               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039727,            0.010938,           0.0039595,              0.7611,             0.94336,             0.87873,             0.48245,            0.024553,           0.0054154,           0.0014591,            0.006535,            0.006535,            0.006535
                  37,            0.040334,            0.011633,           0.0037604,              0.7077,             0.91287,             0.82814,             0.43668,            0.029524,            0.005373,           0.0015461,            0.006436,            0.006436,            0.006436
                  38,            0.040573,            0.012051,           0.0036356,             0.67279,             0.92484,             0.84015,             0.47742,            0.025805,           0.0055592,           0.0016514,            0.006337,            0.006337,            0.006337
                  39,             0.03825,            0.011239,           0.0036961,             0.79375,             0.89502,             0.86972,             0.40362,            0.027915,           0.0060639,            0.001549,            0.006238,            0.006238,            0.006238
                  40,            0.038089,            0.011236,           0.0043174,             0.88468,             0.92484,             0.93585,             0.54116,             0.02245,           0.0057197,           0.0014528,            0.006139,            0.006139,            0.006139
                  41,            0.038641,            0.010285,           0.0030725,             0.89869,             0.91134,             0.93562,              0.5167,            0.023001,           0.0054867,           0.0014917,             0.00604,             0.00604,             0.00604
                  42,            0.037646,           0.0097809,           0.0038904,             0.81021,             0.89726,             0.87974,             0.53045,            0.023122,           0.0052583,           0.0014883,            0.005941,            0.005941,            0.005941
                  43,            0.037118,            0.010015,           0.0033143,             0.70963,             0.87763,             0.84498,             0.48632,            0.025719,           0.0053277,           0.0017258,            0.005842,            0.005842,            0.005842
                  44,             0.03547,            0.010183,           0.0026776,              0.8491,             0.86253,             0.88974,             0.57077,            0.022574,           0.0055163,           0.0012094,            0.005743,            0.005743,            0.005743
                  45,             0.03625,           0.0095734,           0.0031097,              0.8683,             0.88794,             0.94338,             0.57882,            0.020736,           0.0055668,           0.0011101,            0.005644,            0.005644,            0.005644
                  46,            0.030424,           0.0091308,           0.0024802,             0.96408,             0.91229,             0.94387,             0.52837,            0.022205,           0.0057175,           0.0011235,            0.005545,            0.005545,            0.005545
                  47,            0.034869,           0.0096071,           0.0027847,             0.87117,             0.91674,             0.92326,             0.63275,            0.022663,           0.0053933,           0.0011807,            0.005446,            0.005446,            0.005446
